alpha,base_optimizer,batch_size,best_epoch,best_model_path,best_test_accuracy_at_best_val,best_test_loss_at_best_val,best_test_macro_f1_at_best_val,best_val_accuracy,best_val_loss,best_val_macro_f1,beta,dataset_name,device,exp_dir,final_model_path,final_test_accuracy,final_test_confidence,final_test_loss,final_test_macro_f1,final_test_micro_f1,final_test_weighted_f1,final_train_accuracy,final_train_loss,final_train_macro_f1,final_val_accuracy,final_val_confidence,final_val_loss,final_val_macro_f1,final_val_micro_f1,final_val_weighted_f1,gpu_id,grad_clip_norm,history_path,initial_model_path,job_id,log_path,lr,mean_epoch_time,mean_fractional_applied_params,mean_grad_norm,mean_nonfinite_grad_tensors,mean_throughput,mix_lambda,mode,model_family,model_loader,model_name,model_path,num_labels,num_params,run_id,scenario_name,seed,seq_len,start_epoch,status,target,target_param_count,target_preview,target_tensor_count,task_type,test_size,tokenized_test_pt,tokenized_train_pt,total_nonfinite_test_loss_batches,total_nonfinite_train_loss_batches,total_nonfinite_val_loss_batches,total_time_sec,train_full_size,train_size,trainable_params,trainable_params_after_scope,trainable_scope,use_amp,val_size,weight_decay
0.8,adamw,32,1,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/negative_full_replace_a08/run_4/best_model.pt,0.5,0.0,0.33333333333311105,0.5012000203132629,0.0,0.3338662403408379,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/negative_full_replace_a08/run_4,,0.5,nan,0.0,0.33333333333311105,0.49999999999949996,0.3333333333331111,0.0,nan,0.0,0.5012000203132629,nan,0.0,0.3338662403408379,0.5011999999994998,0.33466751931765587,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/negative_full_replace_a08/run_4/history.json,,465,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/negative_full_replace_a08/run_4/log.txt,2e-05,22.56293888092041,20.8,0.07845396762401283,0.004819277108433735,20.195444922128818,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,4,negative_full_replace_a08,507,128,1,trained,all,66955010,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias; distilbert.transformer.layer.0.attention.q_lin.weight; distilbert.transformer.layer.0.attention.q_lin.bias; distilbert.transformer.layer.0.attention.k_lin.weight; distilbert.transformer.layer.0.attention.k_lin.bias; distilbert.transformer.layer.0.attention.v_lin.weight; distilbert.transformer.layer.0.attention.v_lin.bias; distilbert.transformer.layer.0.attention.out_lin.weight; distilbert.transformer.layer.0.attention.out_lin.bias; distilbert.transformer.layer.0.sa_layer_norm.weight; distilbert.transformer.layer.0.sa_layer_norm.bias; distilbert.transformer.layer.0.ffn.lin1.weight; distilbert.transformer.layer.0.ffn.lin1.bias; distilbert.transformer.layer.0.ffn.lin2.weight; distilbert.transformer.layer.0.ffn.lin2.bias; distilbert.transformer.layer.0.output_layer_norm.weight; distilbert.transformer.layer.0.output_layer_norm.bias,104,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,3910,3354,395,113.31364965438843,25000,22500,66955010,66955010,all,True,2500,0.01
0.5,adamw,32,5,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_0/best_model.pt,0.8608400225639343,0.7810454365968704,0.8607771913557432,0.8787999749183655,0.6995165052413941,0.8787999806074962,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_0,,0.8608400225639343,0.9876627647781372,0.7810454365968704,0.8607771913557432,0.8608399999995,0.8607771913557433,0.9923111200332642,0.031129130029678344,0.9923111076933255,0.8787999749183655,0.9901257049560547,0.6995165052413941,0.8787999806074962,0.8787999999994996,0.8787996315514404,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_0/history.json,,466,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_0/log.txt,2e-05,227.41222128868102,4.0,0.7460693353272376,0.0017045454545454545,102.3995224462742,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,0,emb_replace_a050,508,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,1138.3514292240143,25000,22500,66955010,66955010,all,True,2500,0.01
0.5,adamw,32,3,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_1/best_model.pt,0.8671200275421143,0.48314219512939455,0.867077315016193,0.8787999749183655,0.4448630298614502,0.8787788784312776,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_1,,0.8609200119972229,0.9855356604003906,0.7053391649341584,0.8607116047255032,0.8609199999995,0.8607116047255031,0.9934666752815247,0.027047349866231283,0.9934665350160404,0.8755999803543091,0.9884859948158264,0.6393310787200928,0.8755756128196135,0.8755999999994997,0.8755087222690654,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_1/history.json,,467,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_1/log.txt,2e-05,238.28428702354432,4.0,0.7422118957065351,0.0014204545454545455,96.31991776693692,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,1,emb_replace_a050,509,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,1192.7831711769104,25000,22500,66955010,66955010,all,True,2500,0.01
0.5,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_2/best_model.pt,0.8674399852752686,0.342190517578125,0.8672267121401342,0.8804000020027161,0.3247524154663086,0.8803990623281488,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_2,,0.8613600134849548,0.9859765873908997,0.7528841272687912,0.8613537389561852,0.8613599999995,0.8613537389561852,0.9928444623947144,0.028812550274531046,0.9928443221931643,0.8712000250816345,0.9867185251235961,0.6850479723930359,0.8710870516306566,0.8711999999994996,0.8712488425373772,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_2/history.json,,468,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_2/log.txt,2e-05,237.6190140247345,4.0,0.7433519209308639,0.0017045454545454545,96.89197847117923,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,2,emb_replace_a050,510,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,1188.9527697563171,25000,22500,66955010,66955010,all,True,2500,0.01
0.5,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_3/best_model.pt,0.8751999735832214,0.3309887200164795,0.8751749718823423,0.8855999708175659,0.2980287071228027,0.8855645524752744,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_3,,0.8657199740409851,0.9885347892189026,0.7844869872999192,0.8657144306935126,0.8657199999994999,0.8657144306935125,0.9948444366455078,0.02300419634183248,0.9948444418368867,0.8812000155448914,0.9897686761856079,0.7038936780452728,0.8811990686001971,0.8811999999994995,0.8812011975128878,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_3/history.json,,469,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_3/log.txt,2e-05,232.72843461036683,4.0,0.7347094883666554,0.0008522727272727272,103.81509482113297,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,3,emb_replace_a050,511,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,1164.7974619865417,25000,22500,66955010,66955010,all,True,2500,0.01
0.5,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_4/best_model.pt,0.8702399730682373,0.33008305770874025,0.8701642141242043,0.8755999803543091,0.31406982803344724,0.8754692726231288,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_4,,0.8571199774742126,0.9872750130653382,0.8179273050975799,0.857118942908287,0.8571199999995,0.8571189429082869,0.9918222427368164,0.030971920421388414,0.9918221937266104,0.868399977684021,0.9891646671295166,0.7689926317214966,0.8683797620717155,0.8683999999994997,0.8684110982179613,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_4/history.json,,470,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a050/run_4/log.txt,2e-05,231.93604044914247,4.0,0.7490973916656102,0.0017045454545454545,105.01228085289878,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,4,emb_replace_a050,512,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,1160.9775223731995,25000,22500,66955010,66955010,all,True,2500,0.01
0.6,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_0/best_model.pt,0.8728399872779846,0.3362123375701904,0.8727287912318149,0.8787999749183655,0.32130983123779294,0.8786965718445177,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_0,,0.8530399799346924,0.9890508368682861,0.8924199799823761,0.8524156886093244,0.8530399999995,0.8524156886093243,0.994088888168335,0.023719180165396796,0.994088888596482,0.8579999804496765,0.9901367596626282,0.8614623403549194,0.8571837537382707,0.8579999999994996,0.8571837537382707,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_0/history.json,,471,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_0/log.txt,2e-05,230.8013443470001,4.0,0.7453487806561537,0.0019886363636363634,106.19171321657396,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,0,emb_replace_a060,513,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,1155.451095342636,25000,22500,66955010,66955010,all,True,2500,0.01
0.6,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_1/best_model.pt,0.8695600032806396,0.3226769251251221,0.8692809881117673,0.878000020980835,0.3115910308837891,0.8776942355884724,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_1,,0.8557999730110168,0.9866534907913208,0.7905090811872483,0.8553496107615546,0.8557999999994998,0.8553496107615545,0.9934666752815247,0.02671944243643019,0.9934666586003129,0.8659999966621399,0.9872029577255249,0.7381775977134705,0.8656081132577612,0.8659999999994996,0.8657126163888915,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_1/history.json,,472,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_1/log.txt,2e-05,167.82086181640625,4.0,0.7488360942070369,0.0008522727272727272,134.60429171969201,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,1,emb_replace_a060,514,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,839.9122593402863,25000,22500,66955010,66955010,all,True,2500,0.01
0.6,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_2/best_model.pt,0.867680013179779,0.32329905822753907,0.8674837818571284,0.8884000182151794,0.2994170745849609,0.8883047641736252,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_2,,0.8662800192832947,0.9872835415267944,0.763317655801773,0.8662721943609759,0.8662799999995,0.866272194360976,0.9927999973297119,0.02761584588156806,0.9927999943106065,0.8808000087738037,0.9882269968032837,0.658905589389801,0.8807980927689837,0.8807999999994996,0.8808003814456026,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_2/history.json,,473,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_2/log.txt,2e-05,171.7724865436554,4.0,0.7454669881918543,0.0011363636363636363,131.03353850485888,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,2,emb_replace_a060,515,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,859.8191220760345,25000,22500,66955010,66955010,all,True,2500,0.01
0.6,adamw,32,1,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_3/best_model.pt,0.8726000189781189,0.30348767181396485,0.8725832076894746,0.8772000074386597,0.3022665969848633,0.877185674936624,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_3,,0.8613600134849548,0.9882335334968567,0.7848553282260895,0.8613279612116584,0.8613599999995,0.8613279612116584,0.9934222102165222,0.024787625371085274,0.9934222159330357,0.8759999871253967,0.9906004602432251,0.7139239765167237,0.8759580043414494,0.8759999999994996,0.8759726115268582,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_3/history.json,,474,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_3/log.txt,2e-05,172.6093641281128,4.0,0.7472728062502924,0.0005681818181818182,130.57292910608052,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,3,emb_replace_a060,516,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,863.4502909183502,25000,22500,66955010,66955010,all,True,2500,0.01
0.6,adamw,32,4,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_4/best_model.pt,0.8660799860954285,0.6252817437934876,0.8660202377370319,0.876800000667572,0.5732024557113647,0.8767798116038326,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_4,,0.8551200032234192,0.9862264379882812,0.7871041917705536,0.8548551108089598,0.8551199999995,0.8548551108089598,0.993066668510437,0.027916716061698064,0.9930666205942883,0.8715999722480774,0.9878970262527466,0.7018573887348175,0.8715998151032335,0.8715999999994997,0.8715958706495534,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_4/history.json,,475,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a060/run_4/log.txt,2e-05,171.62689251899718,4.0,0.7399000384859361,0.0017045454545454545,131.63646000904032,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,4,emb_replace_a060,517,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,859.9592065811157,25000,22500,66955010,66955010,all,True,2500,0.01
0.7,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_0/best_model.pt,0.8724799752235413,0.32857155952453615,0.8724566863061726,0.8727999925613403,0.33934750289916993,0.8727992673232793,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_0,,0.8624799847602844,0.988729465007782,0.7857012955188751,0.8624554497277398,0.8624799999995,0.8624554497277399,0.9925777912139893,0.028124668974346585,0.9925777531317528,0.8644000291824341,0.9897189558029175,0.7966015197753906,0.8643989368871646,0.8643999999994997,0.8644056193075547,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_0/history.json,,476,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_0/log.txt,2e-05,165.96525173187257,4.0,0.7465102572885848,0.0017045454545454545,136.40801317111638,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,0,emb_replace_a070,518,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,830.9769332408905,25000,22500,66955010,66955010,all,True,2500,0.01
0.7,adamw,32,2,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_1/best_model.pt,0.8751199841499329,0.32916459548950194,0.8751174032407358,0.8867999911308289,0.29791221466064455,0.886769545536467,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_1,,0.8636800050735474,0.9868616078186035,0.7213794148063659,0.8636709224460735,0.8636799999995,0.8636709224460734,0.9933778047561646,0.026515037473042805,0.993377746369809,0.8784000277519226,0.9877677567481995,0.6322634482383728,0.878304590798686,0.8783999999994996,0.8783945480451671,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_1/history.json,,477,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_1/log.txt,2e-05,171.0027995109558,4.0,0.7329788745003165,0.0014204545454545455,131.63333059275118,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,1,emb_replace_a070,519,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,855.8688700199127,25000,22500,66955010,66955010,all,True,2500,0.01
0.7,adamw,32,4,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_2/best_model.pt,0.8632000088691711,0.7109804110622406,0.8630920499428287,0.8672000169754028,0.7054854960441589,0.8671931152905965,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_2,,0.8622000217437744,0.9865070886611939,0.7361742549228668,0.8621884368376058,0.8621999999994999,0.8621884368376058,0.99391108751297,0.02534832968182034,0.9939110908924258,0.8619999885559082,0.9861592343330383,0.7201755087852478,0.8619008116384508,0.8619999999994996,0.8619985195762001,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_2/history.json,,478,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_2/log.txt,2e-05,171.9925005912781,4.0,0.7244682961689828,0.0005681818181818182,131.10990162236655,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,2,emb_replace_a070,520,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,862.0321826934814,25000,22500,66955010,66955010,all,True,2500,0.01
0.7,adamw,32,5,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_3/best_model.pt,0.8619599938392639,0.8027003089523316,0.8618859175945408,0.8763999938964844,0.722076340007782,0.876352499575737,0.9,imdb,cuda:0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_3,,0.8619599938392639,0.9891738191604614,0.8027003089523316,0.8618859175945408,0.8619599999994999,0.8618859175945408,0.9936888813972473,0.026215258661905924,0.9936888828546491,0.8763999938964844,0.9891103490829468,0.722076340007782,0.876352499575737,0.8763999999994998,0.8763350504404771,0,1.0,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_3/history.json,,479,/home/user/fractional_unlearning/runs_real_text_fractional_concept/imdb/distilbert_base_uncased/emb_replace_a070/run_3/log.txt,2e-05,171.04999632835387,4.0,0.734793367995798,0.0008522727272727272,132.04455968696553,1.0,replace,distilbert,auto,distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,2,66955010,3,emb_replace_a070,521,128,1,trained,embeddings,23835648,distilbert.embeddings.word_embeddings.weight; distilbert.embeddings.position_embeddings.weight; distilbert.embeddings.LayerNorm.weight; distilbert.embeddings.LayerNorm.bias,4,sentiment_classification,25000,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/test.pt,/home/user/fractional_unlearning/real_text_datasets/tokenized_pt/imdb/distilbert_base_uncased/train.pt,0,0,0,857.1565701961517,25000,22500,66955010,66955010,all,True,2500,0.01
